DEPTH,CALI,DENC,DENS,DTC,GR,NEUT,SP
2657.0,22.1927,-0.0001,2.043,110.5102,26.3046,0.4334,199.6736
2657.5,22.0428,0.0108,2.064,110.5019,25.9751,0.4419,199.7091
2658.0,21.9929,0.0281,2.066,112.1471,24.8744,0.4438,199.8167
2658.5,21.6931,0.0108,2.066,114.9905,24.5572,0.4444,199.961
2659.0,21.4932,0.0043,2.064,117.9108,24.4639,0.4216,200.0456
2659.5,21.3433,0.0108,2.042,119.7599,24.0038,0.4198,199.8925
2660.0,21.0935,0.0086,2.019,120.8203,24.9987,0.4334,199.6692
2660.5,20.8936,0.0064,2.02,121.2998,26.4228,0.4342,199.624
2661.0,20.6938,0.0108,2.034,120.9409,26.23,0.4277,199.7422
2661.5,20.5439,0.0043,2.044,120.7285,25.7947,0.4151,199.8764
2662.0,20.344,-0.0087,2.049,121.5257,24.3769,0.4254,199.8405
2662.5,20.1941,-0.0001,2.029,122.5212,22.5719,0.4369,199.4411
2663.0,20.0442,-0.0174,2.009,122.8881,21.605,0.424,199.1035
2663.5,20.0442,-0.0131,1.995,122.1904,22.08,0.4208,199.1004
2664.0,20.2441,0.0021,1.986,119.9554,21.8726,0.4086,199.1424
2664.5,20.2941,0.0346,1.978,117.9686,21.5489,0.4132,199.1616
2665.0,19.9443,0.0108,2.001,117.8656,21.0865,0.4159,199.4495
2665.5,19.8444,0.0043,2.037,118.918,22.3729,0.4033,199.9447
2666.0,19.4946,0.0021,2.061,120.721,25.1084,0.4118,200.1858
2666.5,19.1448,-0.0022,2.061,122.8618,26.2813,0.4118,200.3182
2667.0,19.1448,-0.0022,2.063,124.5468,27.1474,0.4189,200.5512
2667.5,18.995,-0.0087,2.049,125.0997,27.8299,0.4149,200.7168
2668.0,18.895,-0.0152,2.042,125.3372,28.7716,0.4132,200.7361
2668.5,18.7951,-0.0109,2.049,124.6788,28.6721,0.4118,200.7361
2669.0,18.7451,0.0043,2.063,123.3727,27.9378,0.424,200.7361
2669.5,18.7451,0.0129,2.073,121.2232,27.942,0.4533,200.7214
2670.0,18.6952,0.0346,2.085,119.4162,26.5854,0.4621,200.6283
2670.5,18.6952,0.0238,2.077,120.3389,25.6115,0.4328,200.4364
2671.0,18.5453,-0.0001,2.068,122.6457,24.1989,0.4086,200.2475
2671.5,18.3954,-0.0022,2.049,125.4314,22.9559,0.4026,199.9583
2672.0,18.2954,-0.0066,2.043,127.9566,21.6778,0.3925,200.0357
2672.5,18.2455,-0.0217,2.026,127.6319,21.9511,0.3904,200.0816
2673.0,18.1955,-0.0412,2.006,126.9806,23.3749,0.401,199.9149
2673.5,18.1955,-0.0456,1.996,126.1562,23.4842,0.402,199.8087
2674.0,18.1455,-0.0131,1.998,125.1832,23.3833,0.4037,199.6452
